id;description;created_on;created_by;status;last_modified;last_modified_by
1;Money matrix methodologies;2022-04-20T08:22:20;SSL initiatives cross-platform;true;2022-04-19T22:15:38;Gloves
2;bus;2022-04-20T03:53:24;transform payment Functionality;false;2022-04-19T13:19:56;Territory Ohio
3;implement payment;2022-04-19T23:53:46;Planner transition;true;2022-04-20T03:53:46;Berkshire architectures
4;turquoise Mouse Rustic;2022-04-19T12:53:46;Madagascar Music calculating;true;2022-04-20T01:18:43;Technician applications
5;systems;2022-04-20T09:23:33;Account Walks invoice;false;2022-04-19T14:06:31;online Front-line
6;Philippine;2022-04-20T09:30:35;Program quantifying;false;2022-04-19T23:10:56;Multi-lateral
7;Toys;2022-04-19T18:06:58;viral;true;2022-04-20T08:39:54;Dynamic
8;implement back-end Account;2022-04-19T15:01:32;Bedfordshire applications matrix;false;2022-04-20T05:22:33;schemas Republic eyeballs
9;Granite back Plastic;2022-04-19T23:06:05;extend orange calculate;false;2022-04-20T12:16:22;Hampshire high-level
10;robust;2022-04-19T15:53:32;optimizing;true;2022-04-20T02:57:49;invoice
