id;accuser_name;order_date;respondent_name;comment;date;time;status;last_modified;last_modified_by
1;Stream Concrete Mobility;2022-04-19T22:52:49;cross-platform capability;Fantastic;2022-04-19T19:08:57;2022-04-20T01:44:57;ASSIGNED;2022-04-20T01:53:56;navigate Lempira
2;Cambridgeshire;2022-04-19T16:21:17;payment transmitting;e-tailers synthesize withdrawal;2022-04-20T00:38:40;2022-04-20T01:33:41;PENDING;2022-04-19T17:49:31;supply-chains
3;Towels;2022-04-19T19:38:48;Generic Canyon Lesotho;system Liaison Intelligent;2022-04-19T17:45:40;2022-04-19T22:43:26;PENDING;2022-04-20T00:09:34;transmitter Chips
4;Global back-end reboot;2022-04-20T11:24:23;standardization;Buckinghamshire withdrawal Networked;2022-04-20T12:19:39;2022-04-20T05:48:33;ASSIGNED;2022-04-20T01:47:49;Islands Ferry
5;Saudi deposit Sports;2022-04-19T21:41:44;back-end Connecticut;Shirt green;2022-04-19T18:58:19;2022-04-19T18:04:40;HEARING;2022-04-19T21:44:53;withdrawal Handmade Gloves
6;Health applications Cotton;2022-04-20T08:43:29;24 Architect Home;Accounts;2022-04-19T22:50:57;2022-04-19T19:40:06;ASSIGNED;2022-04-20T06:47:34;leverage bluetooth Tactics
7;success disintermediate channels;2022-04-19T22:00:07;compressing Virginia transmitter;Tools and;2022-04-20T06:36:43;2022-04-19T16:53:30;HEARING_COMPLETED;2022-04-20T07:49:33;Bedfordshire
8;Wooden impactful;2022-04-20T10:11:43;quantify Computers collaborative;drive Tools relationships;2022-04-19T16:40:23;2022-04-20T10:37:24;ASSIGNED;2022-04-20T08:08:26;efficient
9;Movies up;2022-04-20T02:07:50;Seamless Berkshire Granite;Franc;2022-04-19T16:59:47;2022-04-19T20:42:56;ASSIGNED;2022-04-19T16:37:26;Hungary content
10;regional secondary;2022-04-19T20:11:28;Principal Soft;Orchestrator Enhanced XSS;2022-04-19T13:45:49;2022-04-20T11:15:52;AWAITED;2022-04-19T13:49:35;Rustic Bedfordshire
